Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Romania,"3,359,839",,"67,821",,"3,278,225",,"13,793",142,"176,542","3,564","26,905,492","1,413,747","19,031,335",Europe,6,281,1,,,725
Denmark,"3,177,625",,"8,352",,"3,167,610",,"1,663",19,"544,585","1,431","129,231,006","22,147,749","5,834,950",Europe,2,699,0,,,285
Hong Kong,"2,884,483",,"13,474",,"2,868,491",,"2,518",28,"379,323","1,772","76,127,725","10,011,143","7,604,299",Asia,3,564,0,,,331
Sweden,"2,701,192",,"23,823",,"2,674,144",+91,"3,225",8,"264,331","2,331","19,500,873","1,908,301","10,218,971",Europe,4,429,1,,,316
Serbia,"2,513,687",,"17,956",,"2,480,359",,"15,372",16,"290,498","2,075","12,581,682","1,454,023","8,653,016",Europe,3,482,1,,,"1,776"
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965",Asia,17,"1,662",2,,,16
Singapore,"2,255,812",,"1,722",,"2,149,583",,"104,507",1,"379,540",290,"24,756,666","4,165,302","5,943,546",Asia,3,"3,452",0,,,"17,583"
New Zealand,"2,250,952",,"3,966",,"2,237,216",,"9,770",,"459,546",810,"7,768,604","1,586,011","4,898,203",Australia/Oceania,2,"1,235",1,,,"1,995"
Hungary,"2,198,461",,"48,791",,"2,144,942",,"4,728",13,"228,857","5,079","11,394,556","1,186,160","9,606,259",Europe,4,197,1,,,492
Bangladesh,"2,037,978",,"29,445",,"1,998,448",,"10,085",N/A,"12,139",175,"15,254,399","90,862","167,885,689",Asia,82,"5,702",11,,,60
Slovakia,"1,865,055",+23,"21,083",+3,"1,843,040",+15,932,24,"341,573","3,861","7,415,479","1,358,098","5,460,193",Europe,3,259,1,4,0.5,171
Georgia,"1,831,771",,"17,004",,"1,776,548",,"38,219",,"461,550","4,284","16,920,079","4,263,340","3,968,738",Asia,2,233,0,,,"9,630"
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869",Asia,6,729,1,,,181
Ireland,"1,706,176",,"8,750",,"1,694,806",+94,"2,620",11,"339,862","1,743","13,061,027","2,601,695","5,020,199",Europe,3,574,0,,,522
Pakistan,"1,579,113",+106,"30,649",+1,"1,538,689",,"9,775",22,"6,881",134,"30,570,862","133,213","229,488,994",Asia,145,"7,488",8,0.5,,43
Norway,"1,480,533",,"5,213",,"1,474,293",,"1,027",20,"268,632",946,"11,002,430","1,996,315","5,511,370",Europe,4,"1,057",1,,,186
Finland,"1,465,256",,"9,028",,"1,453,939",+113,"2,289",21,"263,774","1,625","12,066,384","2,172,182","5,554,960",Europe,4,615,0,,,412
Kazakhstan,"1,409,220",,"13,847",,"1,383,020",,"12,353",24,"73,378",721,"11,575,012","602,707","19,205,043",Asia,14,"1,387",2,,,643
Slovenia,"1,338,037",,"7,095",,"1,324,627",,"6,315",6,"643,896","3,414","2,845,397","1,369,274","2,078,034",Europe,2,293,1,,,"3,039"
Lithuania,"1,312,874",+40,"9,627",,"1,296,777",+46,"6,470",3,"493,245","3,617","10,407,226","3,909,980","2,661,708",Europe,2,276,0,15,,"2,431"
Bulgaria,"1,299,262",,"38,248",,"1,258,781",,"2,233",25,"189,823","5,588","11,109,787","1,623,147","6,844,597",Europe,5,179,1,,,326
Morocco,"1,272,622",,"16,296",,"1,256,151",,175,3,"33,692",431,"13,001,033","344,191","37,772,756",Africa,30,"2,318",3,,,5
Croatia,"1,270,075",,"18,025",,"1,251,558",,492,8,"312,881","4,440","5,530,633","1,362,464","4,059,286",Europe,3,225,1,,,121
Guatemala,"1,243,205",,"20,184",,"1,221,980",,"1,041",5,"66,896","1,086","7,064,789","380,154","18,584,039",North America,15,921,3,,,56
Lebanon,"1,234,125",,"10,859",,"1,087,587",,"135,679",74,"184,615","1,624","4,795,578","717,380","6,684,849",Asia,5,616,1,,,"20,296"
Costa Rica,"1,219,074",,"9,291",,"860,711",,"349,072",52,"235,236","1,793","4,659,757","899,158","5,182,354",North America,4,558,1,,,"67,358"
Bolivia,"1,195,455",,"22,372",,"1,163,197",,"9,886",220,"99,682","1,865","2,705,422","225,590","11,992,656",South America,10,536,4,,,824
Tunisia,"1,151,593",,"29,355",,N/A,N/A,N/A,44,"95,594","2,437","5,004,969","415,465","12,046,656",Africa,10,410,2,,,"1,016"
Cuba,"1,112,760",,"8,530",,"1,104,132",,98,2,"98,425",754,"14,324,663","1,267,036","11,305,652",North America,10,"1,325",1,,,9
Ecuador,"1,058,004",,"36,016",,"1,021,105",,883,759,"58,410","1,988","3,082,403","170,173","18,113,361",South America,17,503,6,,,49
UAE,"1,056,485",,"2,349",,"1,037,673",,"16,463",,"104,791",233,"199,712,348","19,809,225","10,081,785",Asia,10,"4,292",0,,,"1,633"
Uruguay,"1,035,046",,"7,619",,"1,026,854",,573,18,"296,064","2,179","6,114,822","1,749,083","3,496,016",South America,3,459,1,,,164
Panama,"1,032,939",,"8,612",,"1,023,439",,888,16,"232,280","1,937","7,563,087","1,700,730","4,446,964",North America,4,516,1,,,200
Mongolia,"1,007,907",,"2,179",,"1,005,721",,7,192,"298,367",645,"4,030,048","1,193,000","3,378,078",Asia,3,"1,550",1,,,2
Nepal,"1,001,207",,"12,020",,"989,159",,28,,"33,124",398,"6,018,221","199,110","30,225,582",Asia,30,"2,515",5,,,0.9
Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800",Europe,9,"1,325",1,,,141
Latvia,"976,653",,"6,270",,"969,989",,394,13,"528,253","3,391","7,868,671","4,256,011","1,848,837",Europe,2,295,0,,,213
Saudi Arabia,"832,281",,"9,627",,"818,456",,"4,198",69,"23,219",269,"45,243,173","1,262,192","35,844,909",Asia,43,"3,723",1,,,117
Azerbaijan,"829,345",,"10,160",,"819,063",,122,,"80,517",986,"7,552,099","733,199","10,300,205",Asia,12,"1,014",1,,,12
Paraguay,"808,643",,"19,881",,N/A,N/A,N/A,7,"110,684","2,721","2,657,506","363,751","7,305,843",South America,9,367,3,,,"12,380"
Bahrain,"715,520",,"1,558",,"712,832",,"1,130",6,"401,080",873,"10,779,446","6,042,348","1,783,983",Asia,2,"1,145",0,,,633
Sri Lanka,"672,063",,"16,833",,"655,219",,11,,"31,149",780,"6,486,117","300,619","21,575,842",Asia,32,"1,282",3,,,0.5
Kuwait,"664,772",,"2,570",,"660,237",,"1,965",,"151,763",587,"8,455,743","1,930,391","4,380,326",Asia,7,"1,704",1,,,449
Dominican Republic,"660,848",,"4,384",,"644,785",,"11,679",4,"59,771",397,"3,740,928","338,350","11,056,370",North America,17,"2,522",3,,,"1,056"
Cyprus,"654,714",,"1,345",,"649,340",,"4,029",60,"535,165","1,099","9,640,118","7,879,860","1,223,387",Asia,2,910,0,,,"3,293"
Myanmar,"634,072",,"19,490",,"614,494",,88,,"11,481",353,"10,154,054","183,860","55,227,143",Asia,87,"2,834",5,,,2
Palestine,"621,008",,"5,404",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541",Asia,9,989,2,,,30
Moldova,"616,345",,"12,048",,"504,142",,"100,155",49,"153,581","3,002","3,216,305","801,437","4,013,171",Europe,7,333,1,,,"24,957"
Estonia,"616,099",,"2,957",,"524,990",,"88,152",3,"466,067","2,237","3,686,518","2,788,781","1,321,910",Europe,2,447,0,,,"66,685"
Venezuela,"552,332",,"5,854",,"546,195",,283,31,"18,872",200,"3,359,014","114,771","29,266,991",South America,53,"4,999",9,,,10
Egypt,"515,852",,"24,613",,"442,182",,"49,057",122,"4,859",232,"3,693,367","34,792","106,156,692",Africa,206,"4,313",29,,,462
Libya,"507,206",,"6,437",,"500,764",,5,,"72,039",914,"2,483,848","352,782","7,040,745",Africa,14,"1,094",3,,,0.7
Ethiopia,"500,436",,"7,573",,"487,473",,"5,390",1,"4,142",63,"5,513,454","45,636","120,812,698",Africa,241,"15,953",22,,,45
Qatar,"497,582",,688,,"495,761",,"1,133",35,"166,979",231,"4,065,369","1,364,257","2,979,915",Asia,6,"4,331",1,,,380
Réunion,"486,588",,921,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061",Africa,2,986,1,,,"73,888"
Honduras,"472,439",,"11,111",,N/A,N/A,N/A,105,"46,221","1,087","1,646,235","161,060","10,221,247",North America,22,920,6,,,"32,167"
Armenia,"447,778",,"8,733",,"435,162",,"3,883",,"150,667","2,938","3,242,901","1,091,164","2,971,966",Asia,7,340,1,,,"1,307"
Bosnia and Herzegovina,"401,973",,"16,296",,"379,084",,"6,593",,"123,710","5,015","1,884,721","580,036","3,249,317",Europe,8,199,2,,,"2,029"
Oman,"399,449",,"4,628",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993",Asia,13,"1,150",0,,,"1,907"
North Macedonia,"347,327",,"9,665",,"337,068",,594,,"166,880","4,644","2,226,216","1,069,626","2,081,304",Europe,6,215,1,,,285
Zambia,"343,488",,"4,057",,"339,225",,206,,"17,642",208,"3,974,456","204,130","19,470,234",Africa,57,"4,799",5,,,11
Kenya,"342,958",,"5,688",,"337,243",,27,1,"6,101",101,"3,967,062","70,569","56,215,221",Africa,164,"9,883",14,,,0.5
Albania,"334,579",,"3,600",,"329,285",,"1,694",,"116,726","1,256","1,941,032","677,173","2,866,374",Europe,9,796,1,,,591
Botswana,"329,785",,"2,801",,"326,969",,15,1,"135,093","1,147","2,026,898","830,300","2,441,162",Africa,7,872,1,,,6
Luxembourg,"297,757",,"1,133",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371",Europe,2,567,0,,,"11,883"
Montenegro,"289,719",,"2,813",,"286,176",,730,6,"461,373","4,480","2,731,223","4,349,428","627,950",Europe,2,223,0,,,"1,163"
Brunei,"280,790",,225,,"243,601",,"36,964",3,"630,378",505,"717,784","1,611,437","445,431",Asia,2,"1,980",1,,,"82,985"
Algeria,"271,568",,"6,881",,"182,893",,"81,794",,"5,988",152,"230,861","5,091","45,350,148",Africa,167,"6,591",196,,,"1,804"
Nigeria,"266,641",,"3,155",,"259,938",,"3,548",11,"1,230",15,"5,708,974","26,339","216,746,934",Africa,813,"68,700",38,,,16
Zimbabwe,"264,456",,"5,678",,"258,484",,294,12,"17,249",370,"2,525,756","164,744","15,331,428",Africa,58,"2,700",6,,,19
Uzbekistan,"251,660",,"1,637",,"241,486",,"8,537",23,"7,320",48,"1,377,915","40,077","34,382,084",Asia,137,"21,003",25,,,248
Mozambique,"233,214",,"2,242",,"228,805",,"2,167",11,"7,048",68,"1,371,127","41,437","33,089,461",Africa,142,"14,759",24,,,65
Martinique,"229,807",,"1,098",,N/A,N/A,N/A,12,"614,314","2,935","828,928","2,215,870","374,087",North America,2,341,0,,,"611,101"
Laos,"218,033",,758,,N/A,N/A,N/A,,"29,145",101,"1,233,207","164,845","7,481,023",Asia,34,"9,869",6,,,"28,020"
Afghanistan,"210,026",,"7,896",,"192,003",,"10,127",45,"5,153",194,"1,211,796","29,734","40,754,388",Asia,194,"5,161",34,,,248
Iceland,"209,191",,229,,N/A,N/A,N/A,2,"605,661",663,"1,996,384","5,780,036","345,393",Europe,2,"1,508",0,,,"385,871"
Kyrgyzstan,"206,740",,"2,991",,"196,406",,"7,343",131,"30,727",445,"1,907,195","283,460","6,728,271",Asia,33,"2,250",4,,,"1,091"
Guadeloupe,"202,004",,"1,010",,N/A,N/A,N/A,19,"505,270","2,526","938,039","2,346,306","399,794",North America,2,396,0,,,"497,116"
El Salvador,"201,785",,"4,230",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389",North America,32,"1,549",3,,,"2,770"
Trinidad and Tobago,"190,735",,"4,368",,"186,234",,133,8,"135,601","3,105","902,869","641,887","1,406,585",North America,7,322,2,,,95
Maldives,"185,755",,311,,"163,687",,"21,757",25,"343,364",575,"2,213,831","4,092,223","540,985",Asia,3,"1,740",0,,,"40,217"
Ghana,"171,412",,"1,462",,"169,896",,54,2,"5,291",45,"2,533,261","78,198","32,395,450",Africa,189,"22,158",13,,,2
Namibia,"171,222",,"4,090",,"167,099",,33,,"65,008","1,553","1,062,663","403,460","2,633,874",Africa,15,644,2,,,13
Uganda,"170,570",,"3,630",,"100,431",,"66,509",3,"3,522",75,"3,012,408","62,198","48,432,863",Africa,284,"13,342",16,,,"1,373"
Jamaica,"154,538",,"3,528",,"102,572",,"48,438",,"51,770","1,182","1,183,986","396,633","2,985,094",North America,19,846,3,,,"16,227"
Cambodia,"138,723",,"3,056",,"135,665",,2,,"8,080",178,"3,091,420","180,062","17,168,639",Asia,124,"5,618",6,,,0.1
Rwanda,"133,194",,"1,468",,"131,647",,79,,"9,793",108,"6,021,981","442,778","13,600,464",Africa,102,"9,265",2,,,6
Cameroon,"124,741",,"1,968",,"122,640",,133,13,"4,469",71,"1,751,774","62,762","27,911,548",Africa,224,"14,183",16,,,5
Malta,"117,898",,831,,"116,379",,688,4,"265,516","1,871","2,119,315","4,772,877","444,033",Europe,4,534,0,,,"1,549"
Barbados,"106,798",,579,,"106,211",,8,,"370,797","2,010","794,426","2,758,203","288,023",North America,3,497,0,,,28
Angola,"105,298",,"1,933",,"103,342",,23,,"3,006",55,"1,499,795","42,818","35,027,343",Africa,333,"18,121",23,,,0.7
Channel Islands,"101,626",,228,,"101,233",,165,,"575,905","1,292","1,252,808","7,099,551","176,463",Europe,2,774,0,,,935
French Guiana,"98,041",,420,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169",South America,3,748,0,,,"274,906"
DRC,"95,862",,"1,464",,"84,395",,"10,003",,"1,007",15,"846,704","8,890","95,240,792",Africa,994,"65,055",112,,,105
Senegal,"88,951",,"1,971",,"86,967",,13,,"5,039",112,"1,146,543","64,946","17,653,671",Africa,198,"8,957",15,,,0.7
Malawi,"88,711",,"2,686",,"85,619",,406,67,"4,396",133,"624,784","30,959","20,180,839",Africa,227,"7,513",32,,,20
Ivory Coast,"88,297",,834,,"87,452",,11,,"3,183",30,"1,684,169","60,708","27,742,298",Africa,314,"33,264",16,,,0.4
Suriname,"82,467",,"1,404",,N/A,N/A,N/A,,"138,175","2,352","241,357","404,398","596,831",South America,7,425,2,,,"52,464"
New Caledonia,"79,896",,314,,"79,567",,15,9,"274,637","1,079","98,964","340,182","290,915",Australia/Oceania,4,926,3,,,52
French Polynesia,"78,101",,649,,N/A,N/A,N/A,7,"274,845","2,284",,,"284,164",Australia/Oceania,4,438,,,,"154,671"
Eswatini,"74,323",,"1,425",,"72,824",,74,,"62,730","1,203","1,048,704","885,119","1,184,817",Africa,16,831,1,,,62
Guyana,"73,114",,"1,298",,"71,796",,20,,"92,078","1,635","725,236","913,344","794,045",South America,11,612,1,,,25
Belize,"70,782",,688,,"70,085",,9,6,"171,722","1,669","576,016","1,397,453","412,190",North America,6,599,1,,,22
Fiji,"68,911",,883,,"67,014",,"1,014",,"75,771",971,"669,569","736,222","909,466",Australia/Oceania,13,"1,030",1,,,"1,115"
Madagascar,"67,971",,"1,424",,"66,520",,27,,"2,330",49,"528,272","18,105","29,178,077",Africa,429,"20,490",55,,,0.9
Sudan,"63,899",,"5,026",,"58,569",,304,,"1,389",109,"562,941","12,240","45,992,020",Africa,720,"9,151",82,,,7
Mauritania,"63,668",,997,,"62,441",,230,,"12,988",203,"1,009,957","206,030","4,901,981",Africa,77,"4,917",5,,,47
Cabo Verde,"63,252",,413,,"62,781",,58,23,"111,422",728,"401,622","707,482","567,678",Africa,9,"1,375",1,,,102
Bhutan,"62,647",,21,,"61,564",,"1,062",,"79,507",27,"2,303,734","2,923,739","787,941",Asia,13,"37,521",0,,,"1,348"
Syria,"57,489",,"3,164",,"54,325",,0,,"2,969",163,"146,269","7,553","19,364,809",Asia,337,"6,120",132,,,
Burundi,"53,661",,38,,"53,569",,54,,"4,250",3,"345,742","27,386","12,624,840",Africa,235,"332,233",37,,,4
Seychelles,"50,937",,172,,"50,750",,15,,"512,311","1,730",,,"99,426",Africa,2,578,,,,151
Gabon,"48,981",,306,,"48,674",,1,,"21,008",131,"1,621,909","695,641","2,331,533",Africa,48,"7,619",1,,,0.4
Andorra,"47,908",,165,,"47,563",,180,14,"618,463","2,130","249,838","3,225,256","77,463",Europe,2,469,0,,,"2,324"
Papua New Guinea,"46,826",,670,,"43,982",,"2,174",7,"5,039",72,"249,149","26,813","9,292,169",Australia/Oceania,198,"13,869",37,,,234
Curaçao,"45,986",,295,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529",North America,4,561,0,,,"5,866"
Aruba,"44,082",,236,,"42,438",,"1,408",2,"409,650","2,193","177,885","1,653,068","107,609",North America,2,456,1,,,"13,084"
Tanzania,"42,942",,846,,N/A,N/A,N/A,7,678,13,,,"63,298,550",Africa,"1,474","74,821",,,,662
Mayotte,"42,004",,188,,N/A,N/A,N/A,,"146,734",657,"176,919","618,038","286,259",Africa,7,"1,523",2,,,"135,723"
Mauritius,"41,821",,"1,043",,"40,106",,672,,"32,808",818,"358,675","281,374","1,274,727",Africa,30,"1,222",4,,,527
Togo,"39,439",,290,,"39,121",,28,,"4,543",33,"809,521","93,254","8,680,837",Africa,220,"29,934",11,,,3
Guinea,"38,280",,467,,"37,757",,56,8,"2,761",34,"660,107","47,607","13,865,691",Africa,362,"29,691",21,,,4
Isle of Man,"38,008",,116,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732",Europe,2,739,1,,,"129,450"
Bahamas,"37,491",,833,,"36,366",,292,1,"93,607","2,080","257,839","643,767","400,516",North America,11,481,2,,,729
Lesotho,"34,790",,723,,"25,980",,"8,087",,"15,990",332,"431,221","198,199","2,175,699",Africa,63,"3,009",5,,,"3,717"
Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233",Europe,1,"1,758",0,,,"547,133"
Haiti,"34,202",,860,,"33,052",,290,,"2,928",74,"132,422","11,337","11,680,283",North America,342,"13,582",88,,,25
Mali,"33,101",,743,,"32,269",,89,,"1,541",35,"800,403","37,274","21,473,764",Africa,649,"28,901",27,,,4
Cayman Islands,"31,472",,37,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280","67,277",North America,2,"1,818",0,,,"340,116"
Saint Lucia,"30,028",,409,,"29,095",,524,,"162,214","2,209","210,983","1,139,752","185,113",North America,6,453,1,,,"2,831"
Benin,"27,999",,163,,"27,830",,6,,"2,190",13,"604,310","47,268","12,784,726",Africa,457,"78,434",21,,,0.5
Somalia,"27,334",,"1,361",,"13,182",,"12,791",,"1,623",81,"400,466","23,778","16,841,795",Africa,616,"12,375",42,,,759
Congo,"25,375",,386,,"24,006",,983,,"4,377",67,"347,815","59,991","5,797,805",Africa,228,"15,020",17,,,170
Solomon Islands,"24,575",,153,,N/A,N/A,N/A,1,"34,077",212,,,"721,159",Australia/Oceania,29,"4,713",,,,"11,183"
Micronesia,"24,195",,63,,N/A,N/A,N/A,1,"205,934",536,"54,967","467,848","117,489",Australia/Oceania,5,"1,865",2,,,"142,269"
San Marino,"23,747",,123,,"23,574",,50,4,"696,699","3,609","196,855","5,775,414","34,085",Europe,1,277,0,,,"1,467"
Timor-Leste,"23,422",,138,,"23,102",,182,,"17,103",101,"278,529","203,391","1,369,429",Asia,58,"9,923",5,,,133
Burkina Faso,"22,056",,396,,"21,596",,64,,998,18,"248,995","11,265","22,102,838",Africa,"1,002","55,815",89,,,3
Liechtenstein,"21,437",,91,,"21,343",,3,,"558,444","2,371","112,457","2,929,559","38,387",Europe,2,422,0,,,78
Gibraltar,"20,462",,111,,"16,579",,"3,772",,"607,109","3,293","534,283","15,852,213","33,704",Europe,2,304,0,,,"111,915"
Grenada,"19,680",,238,,"19,358",,84,4,"173,430","2,097","182,981","1,612,523","113,475",North America,6,477,1,,,740
Bermuda,"18,849",,163,,"18,673",,13,,"304,316","2,632","1,029,142","16,615,412","61,939",North America,3,380,0,,,210
Nicaragua,"18,491",,225,,"4,225",,"14,041",,"2,728",33,,,"6,779,100",North America,367,"30,129",,,,"2,071"
South Sudan,"18,368",,138,,"18,115",,115,1,"1,581",12,"410,280","35,313","11,618,511",Africa,633,"84,192",28,,,10
Tajikistan,"17,786",,125,,"17,264",,397,,"1,786",13,,,"9,957,464",Asia,560,"79,660",,,,40
Equatorial Guinea,"17,229",,183,,"16,907",,139,5,"11,512",122,"365,697","244,342","1,496,662",Africa,87,"8,178",4,,,93
Tonga,"16,813",,13,,"15,638",,"1,162",,"156,039",121,"535,009","4,965,327","107,749",Australia/Oceania,6,"8,288",0,,,"10,784"
Samoa,"16,673",,31,,"1,605",,"15,037",,"82,442",153,"187,397","926,612","202,239",Australia/Oceania,12,"6,524",1,,,"74,353"
Monaco,"16,135",,67,,"15,992",,76,4,"405,575","1,684","78,646","1,976,875","39,783",Europe,2,594,1,,,"1,910"
Dominica,"15,760",,74,,"15,673",,13,,"217,848","1,023","229,344","3,170,187","72,344",North America,5,978,0,,,180
Marshall Islands,"15,723",,17,,"15,621",,85,,"261,801",283,,,"60,057",Australia/Oceania,4,"3,533",,,,"1,415"
Djibouti,"15,690",,189,,"15,427",,74,,"15,441",186,"305,941","301,094","1,016,097",Africa,65,"5,376",3,,,73
